timestamp,asset,direction,confidence,pct_change,strategy_type,stop_loss,take_profit
2025-05-28 13:05:47.159671,BTC-USD,long,85.40%,0.79%,scalp,SL:107227.69,TP:112126.42
2025-05-28 13:06:02.790614,ETH-USD,short,99.00%,-4.63%,swing,SL:2708.14,TP:2588.08
2025-05-28 13:06:02.864978,ETH-USD,short,99.00%,-4.54%,swing,SL:2708.14,TP:2588.08
2025-05-28 13:11:26.690907,BTC-USD,long,85.43%,0.84%,scalp,SL:107284.15,TP:112185.46
2025-05-28 13:11:26.729988,BTC-USD,long,85.11%,0.85%,scalp,SL:107284.15,TP:112185.46
2025-05-28 13:11:42.434656,ETH-USD,short,99.00%,-4.45%,swing,SL:2708.91,TP:2588.81
2025-05-28 13:11:42.476535,ETH-USD,short,99.00%,-4.35%,swing,SL:2708.91,TP:2588.81
2025-05-28 13:17:06.290101,BTC-USD,long,83.84%,0.86%,scalp,SL:107238.85,TP:112138.09
2025-05-28 13:17:06.410492,BTC-USD,long,85.22%,0.83%,scalp,SL:107238.85,TP:112138.09
2025-05-28 13:17:22.013366,ETH-USD,short,99.00%,-4.70%,swing,SL:2708.91,TP:2588.81
2025-05-28 13:17:22.132033,ETH-USD,short,99.00%,-4.59%,swing,SL:2708.91,TP:2588.81
2025-05-28 13:22:45.925804,BTC-USD,long,85.48%,0.68%,scalp,SL:107096.68,TP:111989.42
2025-05-28 13:22:46.065692,BTC-USD,long,84.55%,0.69%,scalp,SL:107096.68,TP:111989.42
2025-05-28 13:23:01.654160,ETH-USD,short,99.00%,-4.48%,swing,SL:2703.99,TP:2584.11
2025-05-28 13:23:01.829634,ETH-USD,short,99.00%,-4.58%,swing,SL:2703.99,TP:2584.11
2025-05-28 13:28:25.556861,BTC-USD,long,85.32%,0.75%,scalp,SL:107170.11,TP:112066.2
2025-05-28 13:28:25.710608,BTC-USD,long,85.42%,0.73%,scalp,SL:107170.11,TP:112066.2
2025-05-28 13:28:41.280662,ETH-USD,short,99.00%,-4.59%,swing,SL:2707.71,TP:2587.66
2025-05-28 13:28:41.466701,ETH-USD,short,99.00%,-4.49%,swing,SL:2707.71,TP:2587.66
2025-05-28 13:34:05.173247,BTC-USD,long,84.99%,0.78%,scalp,SL:107199.32,TP:112096.75
2025-05-28 13:34:05.341890,BTC-USD,long,84.87%,0.78%,scalp,SL:107199.32,TP:112096.75
2025-05-28 13:34:20.897416,ETH-USD,short,99.00%,-4.72%,swing,SL:2712.2,TP:2591.96
2025-05-28 13:34:21.091290,ETH-USD,short,99.00%,-4.75%,swing,SL:2712.2,TP:2591.96
2025-05-28 13:39:44.715462,BTC-USD,long,84.93%,0.73%,scalp,SL:107150.67,TP:112045.88
2025-05-28 13:39:44.966625,BTC-USD,long,84.54%,0.75%,scalp,SL:107150.67,TP:112045.88
2025-05-28 13:40:00.488146,ETH-USD,short,99.00%,-5.18%,swing,SL:2724.12,TP:2603.34
2025-05-28 13:40:00.722687,ETH-USD,short,99.00%,-5.23%,swing,SL:2724.12,TP:2603.34
2025-05-28 13:45:24.449280,BTC-USD,long,85.57%,0.47%,scalp,SL:106872.52,TP:111755.02
2025-05-28 13:45:24.658800,BTC-USD,long,84.00%,0.50%,scalp,SL:106872.52,TP:111755.02
2025-05-28 13:45:40.199415,ETH-USD,short,99.00%,-4.74%,swing,SL:2709.77,TP:2589.63
2025-05-28 13:45:40.423646,ETH-USD,short,99.00%,-4.72%,swing,SL:2711.09,TP:2590.89
2025-05-28 13:51:04.051438,BTC-USD,long,85.15%,0.38%,scalp,SL:106770.16,TP:111647.98
2025-05-28 13:51:04.342864,BTC-USD,long,85.36%,0.38%,scalp,SL:106770.16,TP:111647.98
2025-05-28 13:51:19.873967,ETH-USD,short,99.00%,-4.40%,swing,SL:2702.03,TP:2582.24
2025-05-28 13:51:20.138564,ETH-USD,short,99.00%,-4.47%,swing,SL:2702.03,TP:2582.24
2025-05-28 13:56:43.706630,BTC-USD,long,84.47%,0.30%,scalp,SL:106656.94,TP:111529.59
2025-05-28 13:56:44.060327,BTC-USD,long,85.23%,0.28%,scalp,SL:106656.94,TP:111529.59
2025-05-28 13:56:59.428876,ETH-USD,short,99.00%,-4.58%,swing,SL:2705.36,TP:2585.42
2025-05-28 13:56:59.829912,ETH-USD,short,99.00%,-4.52%,swing,SL:2705.36,TP:2585.42
2025-05-28 14:02:38.614088,ETH-USD,short,99.00%,-4.44%,swing,SL:2702.73,TP:2582.91
